groups;type_vegetation;n;;
agri_fire;herbe_seche_genet;1;TBR;
agri_fire;herbe_seche_mais;1;mais;
agri_fire;herbe_seche_paille;1;STH;
agri_fire;herbe_seche_souche;1;TBR;
agri_fire;herbe_vegetation;1;TBR;
agri_fire;herbe_verger;1;TBR;
agri_fire;jachere;9;STH;
agri_fire;lande;7;TBR;
agri_fire;lande_pin;1;TBR;
agri_fire;landes;1;TBR;
agri_fire;lin;16;lin;
agri_fire;lin_chaume;1;lin;
agri_fire;luzerne;3;luzerne;
agri_fire;luzerne_broussaille;1;luzerne;
agri_fire;luzerne_chaume_garrigue;1;TBR;
agri_fire;ma_is;3;mais;
agri_fire;mais;10;mais;
agri_fire;mais_ecobuage;1;mais;
agri_fire;miscanthus;1;TBR;
agri_fire;miscanthus_plantes_herbacees;1;TBR;
agri_fire;moisson;4;cereale;
agri_fire;orge;154;orge;
agri_fire;orge_avoine;1;orge;
agri_fire;orge_ble;11;orge;
agri_fire;orge_bois;1;orge;
agri_fire;orge_cereale_chaume;1;orge;
agri_fire;orge_chaume;5;orge;
agri_fire;orge_chaume_lin;1;orge;
agri_fire;orge_colza;1;orge;
agri_fire;orge_foret;1;TBR;
agri_fire;orge_jachere;1;orge;
agri_fire;orge_paille;4;orge;
agri_fire;orge_recolte;1;orge;
agri_fire;paille;267;paille;#NOM?
agri_fire;paille_andain;1;paille;
agri_fire;paille_ble;11;ble;
agri_fire;paille_cereale;2;cereale;
agri_fire;paille_champ;3;paille;
agri_fire;paille_chaume;4;paille;
agri_fire;paille_foin;2;paille;
agri_fire;paille_foret;1;TBR;
agri_fire;paille_herbe;2;STH;
agri_fire;paille_orge;3;orge;
agri_fire;paille_recolte;2;cereale;
agri_fire;paille_vegetation;1;paille;
agri_fire;pailler;1;paille;
agri_fire;parcelle_agricole;2;chaume;
agri_fire;paturage;1;STH;
agri_fire;paturage_bois_culture;1;TBR;
agri_fire;pature;2;STH;
agri_fire;petit_pois;2;pois;
agri_fire;pin;1;TBR;
agri_fire;pinede_broussaille;1;TBR;
agri_fire;pinede_chaume;2;TBR;
agri_fire;pinede_vigne;1;TBR;
agri_fire;prairie;44;STH;
agri_fire;prairie_broussaille;1;STH;
agri_fire;prairie_chaume;2;STH;
agri_fire;prairie_herbe;1;STH;
agri_fire;pre;32;STH;
agri_fire;pre_bois;1;TBR;
agri_fire;pre_chaume;1;STH;
agri_fire;pre_garrigue;1;TBR;
agri_fire;pres;2;STH;
agri_fire;ray_grass;1;prairies non perm;
agri_fire;reco_lte;1;cereale;
agri_fire;recolte;458;cereale;
agri_fire;recolte_ble;1;ble;
agri_fire;recolte_bois;1;TBR;
agri_fire;recolte_broussaille;4;TBR;
agri_fire;recolte_champ;1;cereale;
agri_fire;recolte_chaume;30;cereale;
agri_fire;recolte_chaume_sousbois;1;TBR;
agri_fire;recolte_herbe_seche;1;cereale;
agri_fire;recolte_paille;6;cereale;
agri_fire;recolte_paille_chaume;1;cereale;
agri_fire;recolte_prairie;1;cereale;
agri_fire;recolte_sous_bois;1;TBR;
agri_fire;recote_chaume;1;cereale;
agri_fire;sapin;1;TBR;
agri_fire;sapinette;1;TBR;
agri_fire;sapiniere;2;TBR;
agri_fire;seigle_lin;1;lin;
agri_fire;serre_haie;1;TBR;
agri_fire;sous_bois;15;TBR;
agri_fire;sous_bois_herbe_seche;1;TBR;
agri_fire;tallus;2;TBR;
agri_fire;terrain;1;cereale;
agri_fire;terre;2;chaume;
agri_fire;terre_agricole;2;chaume;
agri_fire;tourbe;2;TBR;
agri_fire;tournesol;4;tournesol;
agri_fire;trefle;1;trefle;
agri_fire;triticale;1;ble;
agri_fire;vegetation;52;STH;
agri_fire;vegetation_basse;1;STH;
agri_fire;vegetation_chaume;2;STH;
agri_fire;vegetation_culture;1;STH;
agri_fire;vegetation_herbe_seche_chaume;1;STH;
agri_fire;vegetaux;2;STH;
agri_fire;vigne;3;TBR;
agri_fire;NA;71;;
build_agri_fire;aliments_pour_animaux;1;;
build_agri_fire;balles_rondes;1;;
build_agri_fire;ballots;1;;
build_agri_fire;betail;19;;
build_agri_fire;ble;2;;
build_agri_fire;ble_foin_paille;1;;
build_agri_fire;ble_orge;1;;
build_agri_fire;ble_paille;3;;
build_agri_fire;ble_paille_foin;1;;
build_agri_fire;bois_foin;1;;
build_agri_fire;bois_paille;1;;
build_agri_fire;canneton;1;;
build_agri_fire;cereale;3;;
build_agri_fire;cereale_paille;1;;
build_agri_fire;cereale_roundballer;1;;
build_agri_fire;cereales;1;;
build_agri_fire;champ_foin;1;;
build_agri_fire;chanvre;2;;
build_agri_fire;cochons;1;;
build_agri_fire;cognac;1;;
build_agri_fire;compost;1;;
build_agri_fire;dinde;1;;
build_agri_fire;dindons;1;;
build_agri_fire;engrais;1;;
build_agri_fire;ensilage;1;;
build_agri_fire;foin;433;;
build_agri_fire;foin_ble;1;;
build_agri_fire;foin_bois;5;;
build_agri_fire;foin_cereales;1;;
build_agri_fire;foin_chanvre;1;;
build_agri_fire;foin_ensilage;1;;
build_agri_fire;foin_grains;1;;
build_agri_fire;foin_luzerne;2;;
build_agri_fire;foin_paille;86;;
build_agri_fire;foin_paille_cereale;1;;
build_agri_fire;foin_paille_fourrage;1;;
build_agri_fire;fourrage;512;;
build_agri_fire;fourrage_ble;1;;
build_agri_fire;fourrage_bois;3;;
build_agri_fire;fourrage_cereales;6;;
build_agri_fire;fourrage_grain;1;;
build_agri_fire;fourrage_lin_ble;1;;
build_agri_fire;fourrage_materiel;1;;
build_agri_fire;fourrage_orge;1;;
build_agri_fire;fourrage_paille;6;;
build_agri_fire;fourrage_paille_foin;2;;
build_agri_fire;fruits_materiels_produits_chimiques;1;;
build_agri_fire;fumier;4;;
build_agri_fire;grain;2;;
build_agri_fire;lin;17;;
build_agri_fire;lin_foin;1;;
build_agri_fire;lin_paille;3;;
build_agri_fire;lin_semences;1;;
build_agri_fire;litiere;1;;
build_agri_fire;luzerne;3;;
build_agri_fire;mais_ble;2;;
build_agri_fire;orge_foin;1;;
build_agri_fire;paerdrix;1;;
build_agri_fire;paille;658;;
build_agri_fire;paille_animaux;1;;
build_agri_fire;paille_betail;2;;
build_agri_fire;paille_ble;2;;
build_agri_fire;paille_bois;10;;
build_agri_fire;paille_cereale;3;;
build_agri_fire;paille_chaume;1;;
build_agri_fire;paille_copeaux_de_bois;1;;
build_agri_fire;paille_foin;116;;
build_agri_fire;paille_foin_betail;2;;
build_agri_fire;paille_fourrage;18;;
build_agri_fire;paille_grain;2;;
build_agri_fire;paille_lin;6;;
